Edit Date,Lead ID,Field / Event,Old Value,New Value
2026-09-08T12:37:23.000Z,00QP500000ucCazMAE,Status,Not reached,Not Qualified
2026-09-08T12:36:14.000Z,00QP500000toGRkMAM,Status,Follow-up,Mailjourney
2026-09-08T12:34:17.000Z,00QP500000tkgxRMAQ,Status,Follow-up,Mailjourney
2026-09-08T12:33:52.000Z,00QP500000uHXgsMAG,Status,Follow-up,Mailjourney
2026-09-08T12:33:50.000Z,00QP500000udL2lMAE,Status,New,Not reached
2026-09-08T12:33:49.000Z,00QQD00000AQLdy2AH,Status,Not reached,Mailjourney
2026-09-08T12:32:34.000Z,00QP500000tiEKaMAM,Status,Follow-up,Mailjourney
2026-09-08T12:32:14.000Z,00QP500000uHO7KMAW,Status,Follow-up,Mailjourney
2026-09-08T12:31:52.000Z,00QP500000udPRJMA2,Status,New,Not Qualified
2026-09-08T12:30:47.000Z,00QP500000uWZKBMA4,Status,Not reached,Mailjourney
2026-09-08T12:30:42.000Z,00QP500000th0QCMAY,Status,Follow-up,Mailjourney
2026-09-08T12:30:23.000Z,00QP500000u7kqgMAA,Status,Follow-up,Mailjourney
2026-09-08T12:29:47.000Z,00QP500000uV2jeMAC,Status,Not reached,Follow-up
2026-09-08T12:29:44.000Z,00QP500000uWL7VMAW,Status,Not reached,Brochure
2026-09-08T12:29:36.000Z,00QQD00000dpeL82AI,Status,Follow-up,Lost
2026-09-08T12:29:26.000Z,00QP500000udLUEMA2,Status,New,Follow-up
2026-09-08T12:29:09.000Z,00QP500000tkmRoMAI,Status,Follow-up,Lost
2026-09-08T12:28:40.000Z,00QP500000uUFnnMAG,Status,Not reached,Follow-up
2026-09-08T12:25:23.000Z,00QP500000uUXfqMAG,Status,Not reached,Follow-up
2026-09-08T12:24:42.000Z,00QP500000tnuSnMAI,Status,Follow-up,Mailjourney
2026-09-08T12:24:00.000Z,00QP500000thZJ2MAM,Status,Follow-up,Mailjourney
2026-09-08T12:23:58.000Z,00QP500000uNPLgMAO,Status,Not reached,Follow-up
2026-09-08T12:22:55.000Z,00QP500000tkcXGMAY,Status,Follow-up,Mailjourney
2026-09-08T12:22:50.000Z,00QP500000uNNVAMA4,Status,Not reached,Mailjourney
2026-09-08T12:21:40.000Z,00QP500000pe33XMAQ,Status,Re-entered,Lost
2026-09-08T12:21:22.000Z,00QQD00000ZH1TS2A1,Status,Not reached,Follow-up
2026-09-08T12:21:21.000Z,00QP500000udchtMAA,Status,New,Follow-up
2026-09-08T12:19:06.000Z,00QQD00000AQNqR2AX,Status,Re-entered,Not reached
2026-09-08T12:18:40.000Z,00QP500000uciCgMAI,Status,New,Not reached
2026-09-08T12:15:58.000Z,00QP500000tG5vNMAS,Status,Mailjourney,Lost
2026-09-08T12:14:13.000Z,00QP500000uOIbSMAW,Status,Not reached,Follow-up
2026-09-08T12:12:35.000Z,00QP500000uNgSzMAK,Status,Not reached,Follow-up
2026-09-08T12:11:57.000Z,00QP500000udedGMAQ,Status,New,Not reached
2026-09-08T12:11:42.000Z,00QP500000tG5vNMAS,Status,Follow-up,Mailjourney
2026-09-08T12:10:14.000Z,00QP500000uO3e2MAC,Status,Not reached,Follow-up
2026-09-08T12:10:13.000Z,00QQD00000a0eOv2AI,Status,Mailjourney,Re-entered
2026-09-08T12:09:07.000Z,00QQD00000cVFBP2A4,Status,Follow-up,Mailjourney
2026-09-08T12:08:36.000Z,00QP500000uO0jQMAS,Status,Not reached,Follow-up
2026-09-08T12:08:22.000Z,00QP500000uNu7mMAC,Status,Not reached,Follow-up
2026-09-08T12:08:08.000Z,00QP500000sx2oKMAQ,Status,Follow-up,Mailjourney
2026-09-08T12:07:21.000Z,00QP500000udWUSMA2,Status,New,Appointment
2026-09-08T12:06:32.000Z,00QP500000udxRNMAY,Status,New,Not reached
2026-09-08T12:05:56.000Z,00QP500000uNTFgMAO,Status,Not reached,Follow-up
2026-09-08T12:05:18.000Z,00QP500000uNem5MAC,Status,Follow-up,Appointment
2026-09-08T12:03:32.000Z,00QP500000uN9GrMAK,Status,Not reached,Mailjourney
2026-09-08T11:59:27.000Z,00QP500000udoSvMAI,Status,New,Appointment
2026-09-08T11:58:17.000Z,00QP500000uTTCsMAO,Status,Not reached,Follow-up
2026-09-08T11:56:55.000Z,00QQD00000AQNqR2AX,Status,Follow-up,Re-entered
2026-09-08T11:56:50.000Z,00QP500000udtCTMAY,Status,New,Appointment
2026-09-08T11:56:46.000Z,00QP500000uTIsYMAW,Status,Not reached,Follow-up
2026-09-08T11:56:34.000Z,00QQD00000DyvDd2AJ,Status,Not reached,Follow-up
2026-09-08T11:55:49.000Z,00QQD00000DyvDd2AJ,Status,Follow-up,Not reached
2026-09-08T11:55:36.000Z,00QP500000uTbQXMA0,Status,Not reached,Lost
2026-09-08T11:54:01.000Z,00QP500000uPnOgMAK,Status,Not reached,Lost
2026-09-08T11:53:31.000Z,00QP500000udRbDMAU,Status,New,Appointment
2026-09-08T11:53:27.000Z,00QP500000uVeiTMAS,Status,Not reached,Appointment
2026-09-08T11:52:20.000Z,00QP500000ubOCpMAM,Status,Not reached,Brochure
2026-09-08T11:49:39.000Z,00QP500000uLnbnMAC,Status,Not reached,Mailjourney
2026-09-08T11:49:07.000Z,00QP500000uOuNPMA0,Status,Not reached,Follow-up
2026-09-08T11:48:45.000Z,00QQD00000btmwM2AQ,Status,Not reached,Mailjourney
2026-09-08T11:48:20.000Z,00QQD00000ZGxnu2AD,Status,Re-entered,Not Qualified
2026-09-08T11:48:19.000Z,00QP500000ty4U5MAI,Status,Follow-up,Lost
2026-09-08T11:47:45.000Z,00QP500000uTFRlMAO,Status,Not reached,Follow-up
2026-09-08T11:46:01.000Z,00QP500000uTClXMAW,Status,Not reached,Brochure
2026-09-08T11:45:33.000Z,00QP500000udLKUMA2,Status,New,Not reached
2026-09-08T11:45:19.000Z,00QP500000tiyYgMAI,Status,Follow-up,Mailjourney
2026-09-08T11:44:50.000Z,00QP500000tfBHdMAM,Status,Follow-up,Mailjourney
2026-09-08T11:44:36.000Z,00QQD00000AQEkH2AX,Status,Not reached,Follow-up
2026-09-08T11:43:25.000Z,00QP500000tHzCNMA0,Status,Follow-up,Mailjourney
2026-09-08T11:42:49.000Z,00QP500000ucv1tMAA,Status,New,Appointment
2026-09-08T11:39:52.000Z,00QQD00000Jnwb02AB,Status,Re-entered,Lost
2026-09-08T11:38:15.000Z,00QP500000pe33XMAQ,Status,Mailjourney,Re-entered
2026-09-08T11:34:24.000Z,00QP500000udNuBMAU,Status,New,Appointment
2026-09-08T11:33:57.000Z,00QP500000tkrEaMAI,Status,Follow-up,Mailjourney
2026-09-08T11:29:46.000Z,00QP500000udFeuMAE,Status,New,Appointment
2026-09-08T11:28:14.000Z,00QP500000tiJIbMAM,Status,Follow-up,Mailjourney
2026-09-08T11:27:10.000Z,00QP500000uKjNLMA0,Status,Not reached,Mailjourney
2026-09-08T11:26:30.000Z,00QP500000udJLtMAM,Status,New,Brochure
2026-09-08T11:26:07.000Z,00QP500000t81P3MAI,Status,Follow-up,Mailjourney
2026-09-08T11:24:34.000Z,00QP500000uPy5ZMAS,Status,Not reached,Follow-up
2026-09-08T11:24:22.000Z,00QP500000rHjNZMA0,Status,Follow-up,Mailjourney
2026-09-08T11:23:44.000Z,00QP500000ucclbMAA,Status,New,Not reached
2026-09-08T11:22:11.000Z,00QP500000uLg2PMAS,Status,Not reached,Follow-up
2026-09-08T11:20:55.000Z,00QP500000ucAatMAE,Status,New,Not reached
2026-09-08T11:20:28.000Z,00QP500000udEMDMA2,Status,New,Appointment
2026-09-08T11:20:25.000Z,00QQD00000D6iV72AJ,Status,Re-entered,Not reached
2026-09-08T11:17:57.000Z,00QQD00000D6iV72AJ,Status,Lost,Re-entered
2026-09-08T11:17:55.000Z,00QQD00000BYgBO2A1,Status,Re-entered,Brochure
2026-09-08T11:16:46.000Z,00QP500000udJLuMAM,Status,New,Mailjourney
2026-09-08T11:16:38.000Z,00QP500000u4UKKMA2,Status,Re-entered,Appointment
2026-09-08T11:12:49.000Z,00QP500000ucbb2MAA,Status,New,Not reached
2026-09-08T11:09:27.000Z,00QP500000ud91dMAA,Status,New,Not reached
2026-09-08T10:57:29.000Z,00QQD00000AQXtY2AX,Status,Follow-up,Mailjourney
2026-09-08T10:57:22.000Z,00QP500000tvI73MAE,Status,Follow-up,Mailjourney
2026-09-08T10:49:18.000Z,00QP500000u4UKKMA2,Status,Mailjourney,Re-entered
2026-09-08T10:44:02.000Z,00QP500000sxmw0MAA,Status,Follow-up,Mailjourney
2026-09-08T10:42:50.000Z,00QQD00000ZGxnu2AD,Status,Converted Old SF,Re-entered
2026-09-08T10:39:11.000Z,00QQD00000VB4G92AL,Status,Not reached,Appointment
2026-09-08T10:37:38.000Z,00QP500000uDmoCMAS,Status,Follow-up,Mailjourney
2026-09-08T10:33:18.000Z,00QP500000ubPSEMA2,Status,Not reached,Lost
2026-09-08T10:26:35.000Z,00QQD00000VB4G92AL,Status,Re-entered,Not reached
2026-09-08T10:25:01.000Z,00QP500000ucaqEMAQ,Status,New,Not reached
2026-09-08T10:23:17.000Z,00QP500000uXh4MMAS,Status,Mailjourney,Not Qualified
2026-09-08T10:19:42.000Z,00QP500000tgzXFMAY,Status,Follow-up,Mailjourney
2026-09-08T10:18:36.000Z,00QP500000ts5JBMAY,Status,Follow-up,Mailjourney
2026-09-08T10:18:08.000Z,00QP500000t5yjwMAA,Status,Follow-up,Mailjourney
2026-09-08T10:16:23.000Z,00QQD00000Qnnsg2AB,Status,Follow-up,Mailjourney
2026-09-08T10:15:56.000Z,00QQD00000Jnwb02AB,Status,Lost,Re-entered
2026-09-08T10:15:52.000Z,00QP500000ucKn7MAE,Status,New,Not Qualified
2026-09-08T10:15:17.000Z,00QQD00000PFkCD2A1,Status,Follow-up,Lost
2026-09-08T10:14:54.000Z,00QQD00000IFZUa2AP,Status,Mailjourney,Brochure
2026-09-08T10:14:06.000Z,00QP500000torW7MAI,Status,Follow-up,Mailjourney
2026-09-08T10:12:57.000Z,00QQD00000cVZ0Q2AW,Status,Follow-up,Mailjourney
2026-09-08T10:12:27.000Z,00QP500000tmPHOMA2,Status,Follow-up,Mailjourney
2026-09-08T10:12:26.000Z,00QP500000ucBoeMAE,Status,New,Appointment
2026-09-08T10:12:13.000Z,00QP500000ucONdMAM,Status,Brochure,Mailjourney
2026-09-08T10:11:55.000Z,00QP500000uLG4kMAG,Status,Brochure,Mailjourney
2026-09-08T10:11:53.000Z,00QP500000uBwtGMAS,Status,Follow-up,Lost
2026-09-08T10:11:08.000Z,00QP500000uc23lMAA,Status,Brochure,Follow-up
2026-09-08T10:11:08.000Z,00QP500000ucdmVMAQ,Status,Brochure,Follow-up
2026-09-08T10:10:11.000Z,00QP500000tlCkQMAU,Status,Follow-up,Appointment
2026-09-08T10:09:34.000Z,00QP500000ucKn8MAE,Status,New,Appointment
2026-09-08T10:09:19.000Z,00QP500000uKJ6IMAW,Status,Follow-up,Appointment
2026-09-08T10:09:01.000Z,00QP500000ubwBTMAY,Status,New,Not Qualified
2026-09-08T10:06:41.000Z,00QP500000uQoQkMAK,Status,Not reached,Follow-up
2026-09-08T10:06:26.000Z,00QP500000ucdmVMAQ,Status,New,Brochure
2026-09-08T10:05:12.000Z,00QP500000uRN9yMAG,Status,Not reached,Not Qualified
2026-09-08T10:04:45.000Z,00QP500000tiMMvMAM,Status,Follow-up,Mailjourney
2026-09-08T10:04:13.000Z,00QQD00000ZGtsZ2AT,Status,Re-entered,Not Qualified
2026-09-08T10:03:32.000Z,00QP500000uLG4kMAG,Status,Not reached,Brochure
2026-09-08T10:02:57.000Z,00QP500000uQlxYMAS,Status,Not reached,Follow-up
2026-09-08T10:02:53.000Z,00QQD00000VB4G92AL,Status,Lost,Re-entered
2026-09-08T10:02:32.000Z,00QQD00000AQFBR2A5,Status,Not reached,Follow-up
2026-09-08T10:01:51.000Z,00QP500000ucQndMAE,Status,New,Not reached
2026-09-08T09:59:53.000Z,00QP500000tl4wcMAA,Status,Follow-up,Mailjourney
2026-09-08T09:59:52.000Z,00QP500000uWLsHMAW,Status,Not reached,Appointment
2026-09-08T09:58:12.000Z,00QP500000t6wuUMAQ,Status,Follow-up,Lost
2026-09-08T09:56:02.000Z,00QP500000ubxiUMAQ,Status,Not reached,Appointment
2026-09-08T09:55:35.000Z,00QP500000uKlk9MAC,Status,Not reached,Mailjourney
2026-09-08T09:54:58.000Z,00QP500000ucPYDMA2,Status,New,Follow-up
2026-09-08T09:54:03.000Z,00QQD00000dpu1i2AA,Status,Follow-up,Lost
2026-09-08T09:52:49.000Z,00QP500000uQt45MAC,Status,Not reached,Appointment
2026-09-08T09:51:55.000Z,00QP500000uQFw3MAG,Status,Not reached,Follow-up
2026-09-08T09:51:08.000Z,00QP500000ucUhZMAU,Status,New,Appointment
2026-09-08T09:49:51.000Z,00QQD00000ZGtsZ2AT,Status,Not Qualified,Re-entered
2026-09-08T09:46:49.000Z,00QP500000qkRH3MAM,Status,Re-entered,Follow-up
2026-09-08T09:46:09.000Z,00QP500000ubxiUMAQ,Status,New,Not reached
2026-09-08T09:46:00.000Z,00QP500000uKF7YMAW,Status,Not reached,Follow-up
2026-09-08T09:45:44.000Z,00QP500000ucaLaMAI,Status,New,Follow-up
2026-09-08T09:44:46.000Z,00QQD00000ZH1TS2A1,Status,New,Not reached
2026-09-08T09:43:42.000Z,00QQD00000AQ9eu2AD,Status,Follow-up,Lost
2026-09-08T09:40:37.000Z,00QP500000uQ6SzMAK,Status,Not reached,Follow-up
2026-09-08T09:38:50.000Z,00QP500000ubOCpMAM,Status,New,Not reached
2026-09-08T09:37:13.000Z,00QP500000ub9gpMAA,Status,New,Appointment
2026-09-08T09:35:37.000Z,00QP500000ucONdMAM,Status,New,Brochure
2026-09-08T09:33:42.000Z,00QP500000uQU76MAG,Status,Not reached,Follow-up
